,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,period
39,6707655.844,6068000,-639655.8445,-1123756.868,-175600.545,0.904757048,0.843743766,0.971875128,0.002,Gansu,7
47,22970951.16,21397500,-1573451.16,-2368135.692,-811269.5132,0.931945157,0.900354625,0.963470758,0,Guangdong,7
55,10787470.11,10684500,-102970.106,-505651.381,268031.2998,0.990413395,0.954812829,1.025731495,0.612,Guangxi,7
63,12074817.16,10070500,-2004317.162,-2980657.141,-1113770.927,0.834031923,0.771617428,0.900416344,0,Guizhou,7
71,1822136.598,1663500,-158636.5976,-296770.5287,-34579.93752,0.914798266,0.848607365,0.979635862,0.016,Hainan,7
79,16094513.01,14211000,-1883513.011,-3724091.969,-120569.9608,0.883751191,0.792357247,0.991587107,0.042,Hebei,7
87,8539627.771,7837000,-702627.7714,-1037238.09,-356600.5162,0.916999094,0.883118068,0.956478168,0,Heilongjiang,7
95,27568723.3,23623000,-3945723.296,-5404387.255,-2676310.446,0.857900542,0.813817648,0.898236478,0,Henan,7
103,15159430.86,13981500,-1177930.865,-2339347.886,-64435.92023,0.922096687,0.856665053,0.995412487,0.038,Hubei,7
111,17927092.58,14351000,-3576092.583,-4443458.641,-2679304.226,0.800229298,0.763576132,0.842674318,0,Hunan,7
119,6024903.176,4666500,-1358403.176,-2150955.017,-622907.3842,0.775131054,0.684493297,0.882234963,0,Inner Mongolia,7
127,17171196.46,18024500,853303.538,-403038.4764,2067446.834,1.047985353,0.97812847,1.129563198,0.168,Jiangsu,7
135,10701293.53,9302500,-1398793.531,-1914958.38,-931368.1775,0.869690609,0.829287684,0.908991596,0,Jiangxi,7
143,5625519.143,5159000,-466519.1428,-659274.8015,-270414.4314,0.917322169,0.886688955,0.95019455,0,Jilin,7
151,9669779.11,9344000,-325779.1096,-1132745.819,462671.3212,0.967623897,0.891880096,1.052094895,0.436,Liaoning,7
159,1676303.402,1640000,-36303.40152,-157062.6998,85225.47876,0.977960636,0.912600334,1.054815335,0.578,Ningxia,7
167,1683733.676,1379500,-304233.6758,-450471.7303,-176544.7832,0.819769012,0.753836905,0.886542613,0,Qinghai,7
175,12279282.37,10657000,-1622282.37,-2450686.057,-940643.383,0.868043448,0.813034426,0.918893581,0,Shaanxi,7
183,24379190.04,24039000,-340190.0444,-1950179.404,1209445.964,0.985942926,0.924961871,1.052977263,0.68,Shandong,7
191,8006542.856,6646000,-1360542.856,-1810785.842,-967480.3364,0.830553652,0.785877804,0.872925364,0,Shanghai,7
199,8302620.151,6171000,-2131620.151,-3264376.65,-1108584.221,0.744740014,0.65402795,0.847713283,0,Shanxi,7
207,23177168.91,21146000,-2031168.907,-2922099.45,-1205314.509,0.912939004,0.878590359,0.946074111,0,Sichuan,7
215,2370297.014,2780000,409702.9863,322211.9416,493935.3087,1.173236719,1.131098372,1.216063593,0,Tianjin,7
223,385878,345500,-40378.00001,-76792.63362,-7474.062145,0.896215508,0.818153062,0.97882547,0.012,Tibet,7
231,5579410.693,7867500,2288089.307,1835069.696,2711699.349,1.411076635,1.304200735,1.525951525,0,Xinjiang,7
239,14608450.07,11716000,-2892450.069,-3673339.904,-2073067.143,0.802247103,0.761306208,0.849658638,0,Yunnan,7
247,16049814.48,15487000,-562814.4774,-1406035.717,280985.398,0.965919992,0.916768323,1.018478572,0.166,Zhejiang,7
255,335878176.6,313869500,-22008676.55,-35254815.54,-9908921.945,0.935349088,0.899019307,0.969395993,0.002,zz Total,7
8,39808624.09,38413500,-1395124.086,-3880753.853,1188418.453,0.96378574,0.908243949,1.03192521,0.292,Anhui,8
16,19353205.15,14865000,-4488205.146,-4951570.442,-4083967.043,0.768101308,0.750129799,0.784475479,0,Beijing,8
24,26737278.4,22637000,-4100278.404,-5232499.727,-3006256.905,0.846439087,0.812249966,0.882766182,0,Chongqing,8
32,22704870.71,22144500,-560370.7075,-1662601.683,515696.1792,0.975822521,0.93016363,1.023843037,0.306,Fujian,8
40,20375800.26,16644500,-3731300.263,-4883402.945,-2650127.256,0.81709874,0.773159379,0.862649471,0,Gansu,8
