,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,period,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,2
98,53347362.27,38889000,-14458362.27,-17066698.15,-12001523.25,0.729378437,0.694996245,0.764169784,0,Hubei,2,53347362.3,38889000,-14458362,-17066698,-12001523,0.73,0.69,0.76,0,Hubei,2
106,42025739.24,35562000,-6463739.238,-7542506.497,-5424667.506,0.84633062,0.825018145,0.867648001,0,Hunan,2,42025739.2,35562000,-6463739,-7542507,-5424668,0.85,0.83,0.87,0,Hunan,2
114,19883912.09,17055000,-2828912.091,-3308326.715,-2314976.767,0.857872347,0.837535058,0.880486343,0,Inner Mongolia,2,19883912.1,17055000,-2828912,-3308327,-2314977,0.86,0.84,0.88,0,Inner Mongolia,2
122,95077892.2,80251000,-14826892.2,-17806843.91,-11883878.44,0.844280222,0.818404697,0.871016507,0,Jiangsu,2,95077892.2,80251000,-14826892,-17806844,-11883878,0.84,0.82,0.87,0,Jiangsu,2
130,29589184.4,25236000,-4353184.402,-5413383.121,-3393433.048,0.853144714,0.823377094,0.881470478,0,Jiangxi,2,29589184.4,25236000,-4353184,-5413383,-3393433,0.85,0.82,0.88,0,Jiangxi,2
138,19612676.69,14758000,-4854676.691,-5319425.531,-4383465.706,0.75258165,0.735054401,0.770996341,0,Jilin,2,19612676.7,14758000,-4854677,-5319426,-4383466,0.75,0.74,0.77,0,Jilin,2
146,37689755.87,30649000,-7040755.873,-7895250.574,-6274518.839,0.813287508,0.795163989,0.83006715,0,Liaoning,2,37689755.9,30649000,-7040756,-7895251,-6274519,0.81,0.80,0.83,0,Liaoning,2
154,7695246.668,6785000,-910246.6677,-1154088.751,-670727.625,0.881930548,0.854632088,0.910038609,0,Ningxia,2,7695246.67,6785000,-910247,-1154089,-670728,0.88,0.85,0.91,0,Ningxia,2
162,4764535.018,4456000,-308535.0181,-576355.066,-58554.40798,0.935985146,0.885470114,0.987029861,0.018,Qinghai,2,4764535.02,4456000,-308535,-576355,-58554,0.94,0.89,0.99,0.018,Qinghai,2
170,35730403.59,30034000,-5696403.588,-6190902.244,-5231703.149,0.840614691,0.829098166,0.851648977,0,Shaanxi,2,35730403.6,30034000,-5696404,-6190902,-5231703,0.84,0.83,0.85,0,Shaanxi,2
178,90256766.4,73595000,-16661766.4,-19178276.47,-14165854.96,0.815559472,0.793278009,0.838585723,0,Shandong,2,90256766.4,73595000,-16661766,-19178276,-14165855,0.82,0.79,0.84,0,Shandong,2
186,57713449.04,45136000,-12577449.04,-14636563.9,-10653685.78,0.782307484,0.75512906,0.809038434,0,Shanghai,2,57713449,45136000,-12577449,-14636564,-10653686,0.78,0.76,0.81,0,Shanghai,2
194,24661886.97,21861000,-2800886.969,-4022987.084,-1550856.25,0.887025602,0.844576222,0.933757707,0,Shanxi,2,24661887,21861000,-2800887,-4022987,-1550856,0.89,0.84,0.93,0,Shanxi,2
202,79031946.29,66579000,-12452946.29,-14301902.21,-10785325.09,0.842541534,0.82317331,0.860590463,0,Sichuan,2,79031946.3,66579000,-12452946,-14301902,-10785325,0.84,0.82,0.86,0,Sichuan,2
